Set,Clock,antennaSTR,clientRSSI,bssidRSSI
57,6521.235913991928,14,-30,-38
58,6581.191275835037,2,-30,-2
58,6585.494375944138,10,-29,-37
58,6589.34391784668,14,-30,-37
59,6597.319555044174,2,-29,-38
59,6613.200096845627,10,-30,-38
59,6642.300442934036,14,-29,-2
60,6705.33191204071,2,-30,-2
60,6709.269773006439,10,-30,-30
60,6769.244602918625,14,-30,-2
61,6773.255990028381,2,-30,-31
61,6777.18540096283,10,-30,-32
61,6832.192800045013,14,-30,-2
62,6837.212779998779,2,-30,-37
62,6897.2351088523865,10,-30,-2
62,6959.221277952194,14,-30,-2
63,6965.246649026871,2,-30,-37
63,7022.222923994064,10,-29,-2
63,7029.470929861069,14,-30,-35
64,7085.185924053192,2,-29,-2
64,7093.211676836014,10,-30,-38
64,7148.202383041382,14,-30,-2
65,7153.303359031677,2,-30,-38
65,7161.2609939575195,10,-30,-38
65,7169.3016719818115,14,-30,-38
66,7177.220983982086,2,-30,-40
66,7213.225004911423,10,-30,-2
66,7217.210556983948,14,-29,-35
67,7229.196944952011,2,-29,-38
67,7275.174998044968,10,-30,-2
67,7279.200731039047,14,-30,-37
68,7280.234300851822,2,-31,-41
68,7338.210041999817,10,-30,-2
68,7349.328161001205,14,-29,-38
69,7401.189579963684,2,-29,-2
69,7409.485725879669,10,-29,-38
69,7425.77885389328,14,-29,-35
70,7429.399395942688,2,-29,-36
70,7438.578711032867,10,-29,-37
70,7444.368880987167,14,-35,-38
71,7457.76618885994,2,-29,-37
71,7466.298258066177,10,-30,-35
71,7469.298621892929,14,-29,-40
72,7474.324638843536,2,-29,-37
72,7530.16734790802,10,-29,-2
72,7533.702628850937,14,-29,-37
73,7537.212304830551,2,-29,-35
73,7541.3674829006195,10,-30,-38
73,7590.226726055145,14,-29,-2
74,7595.812690973282,2,-34,-40
74,7601.183776855469,10,-30,-39
74,7655.22437787056,14,-28,-2
75,7681.36900806427,2,-29,-38
75,7693.214921951294,10,-30,-39
75,7698.2403819561005,14,-29,-35
76,7718.656172990799,2,-29,-2
76,7725.369230031967,10,-29,-37
76,7782.204788923264,14,-29,-2
77,7789.2500858306885,2,-29,-39
77,7847.255713939667,10,-30,-2
77,7850.361002922058,14,-30,-39
78,7857.222858905792,2,-29,-38
78,7861.248987913132,10,-30,-39
78,7869.324811935425,14,-30,-38
79,7873.264454841614,2,-30,-37
79,7914.227897882462,10,-30,-2
79,7977.177051067352,14,-29,-2
80,7978.216542959213,2,-30,-35
80,7985.200281858444,10,-30,-39
80,7993.25315284729,14,-30,-38
81,8040.187664031982,2,-29,-2
81,8103.211097002029,10,-30,-2
81,8109.270743846893,14,-29,-37
82,8117.235980987549,2,-30,-38
82,8125.636318922043,10,-30,-39
82,8129.409276008606,14,-30,-37
83,8142.312536001205,2,-35,-36
83,8171.181225061417,10,-35,-2
83,8181.19343996048,14,-30,-37
84,8190.5337200164795,2,-29,-35
84,8193.222133874893,10,-29,-35
84,8201.23028087616,14,-29,-38
85,8209.279477834702,2,-29,-39
85,8218.398579835892,10,-35,-39
85,8221.347188949585,14,-30,-39
86,8226.44763994217,2,-30,-37
86,8229.248628854752,10,-30,-37
86,8237.323997974396,14,-30,-36
87,8253.304749011993,2,-29,-41
87,8258.590404987335,10,-29,-38
87,8293.257946968079,14,-29,-2
88,8298.227546930313,2,-35,-40
88,8357.472712993622,10,-30,-2
88,8366.744917869568,14,-29,-38
89,8369.399659872055,2,-29,-39
89,8389.871855020523,10,-30,-36
89,8397.467489004135,14,-29,-35
90,8401.269181966782,2,-30,-38
90,8408.818578958511,10,-33,-39
90,8410.458873987198,14,-29,-35
91,8414.57321190834,2,-30,-39
91,8487.196871995926,10,-30,-2
91,8489.248226881027,14,-29,-31
92,8547.944579839706,2,-29,-2
92,8559.785805940628,10,-30,-14
92,8574.677244901657,14,-29,-39
93,8585.726974964142,2,-30,-36
93,8595.04432296753,10,-30,-39
93,8609.195549964905,14,-29,-2
94,8672.199370861053,2,-29,-2
94,8675.968584060669,10,-29,-34
94,8695.062238931656,14,-29,-36
95,8743.120324850082,2,-29,-37
95,8750.912734985352,10,-29,-39
95,8754.243990898132,14,-29,-37
96,8766.313700914383,2,-30,-37
96,8781.254091978073,10,-30,-39
96,8814.236402988434,14,-30,-36
97,8844.294256925583,2,-30,-39
97,8858.592826843262,10,-29,-37
97,8943.176522016525,14,-29,-2
98,8992.241953849792,2,-29,-2
98,9002.277435064316,10,-29,-36
98,9041.71451997757,14,-29,-35
99,9050.91102385521,2,-34,-36
99,9055.257113933563,10,-30,-10
99,9057.648352861404,14,0,-33
100,9073.244619846344,2,-33,-37
100,9090.919554948807,10,-30,-35
100,9094.278725862503,14,-29,-38
101,9098.226629018784,2,-30,-37
101,9110.33888888359,10,-30,-37
101,9184.268121957779,14,-30,-2
102,9193.063956022263,2,-29,-36
102,9248.540714025497,10,-32,-2
102,9311.791250944138,14,-30,-2
103,9326.984715938568,2,-30,-40
103,9355.815542936325,10,-30,-39
103,9386.57484292984,14,-30,-37
104,9441.215023040771,2,-30,-2
104,9502.50247502327,10,-33,-2
104,9526.322021007538,14,-30,-40
105,9538.321485042572,2,-30,-39
105,9564.22392296791,10,-30,-2
105,9575.341807842255,14,-30,-38
106,9590.280901908875,2,-30,-37
106,9610.295997858047,10,-34,-36
106,9622.462481021881,14,-30,-39
107,9631.270664930344,2,-29,-37
107,9640.278097867966,10,-30,-38
107,9690.285727977753,14,-30,-2
108,9702.246160030365,2,-29,-37
108,9708.332568883896,10,-30,-36
108,9763.281926870346,14,-29,-2
109,9768.750041007996,2,-30,-38
109,9778.233931064606,10,-29,-40
109,9786.291825056076,14,-29,-34
110,9810.600371837616,2,-29,-39
110,9837.211567878723,10,-30,-2
110,9838.363332986832,14,-34,-37
111,9900.314951896667,2,-29,-2
111,9910.397222042084,10,-29,-34
111,9964.506084918976,14,-30,-2
112,9982.863312959671,2,-30,-37
112,10030.461427927017,10,-29,-2
112,10059.267961025238,14,-30,-38
113,10087.324241876602,2,-29,-36
113,10156.90756893158,10,0,-2
113,10161.335767030716,14,-33,-39
114,10166.538933038712,2,-30,-38
114,10170.251140832901,10,-30,-38
114,10178.921659946442,14,-30,-35
115,10182.294147968292,2,-29,-35
115,10194.28108906746,10,-29,-38
115,10211.344590902328,14,-29,-36
116,10214.304767847061,2,-29,-35
116,10226.202743053436,10,-29,-37
116,10279.374125957489,14,-33,-2
117,10285.30782699585,2,0,-34
117,10286.340258836746,10,-43,-38
117,10342.237735033035,14,-30,-2
118,10358.398027896881,2,-30,-52
118,10411.265208005905,10,-44,-2
118,10469.528797864914,14,-29,-2
119,10478.25935792923,2,-30,-34
119,10482.463904857635,10,-30,-36
119,10491.41335606575,14,-44,-35
120,10532.33620595932,2,-30,-2
120,10539.277412891388,10,-29,-40
120,10546.277536869049,14,-30,-35
121,10597.692640066147,2,-29,-2
121,10616.480808019638,10,-34,-34
121,10660.86146903038,14,-30,-2
122,10666.325702905655,2,-30,-36
122,10727.259081840515,10,-30,-2
122,10729.281522035599,14,-43,-36
123,10734.274793863297,2,-30,-35
123,10750.332818031311,10,-30,-34
123,10762.264843940735,14,-30,-36
124,10787.925669908524,2,-30,-2
124,10791.540485858917,10,-38,-37
124,10798.259762048721,14,-30,-38
125,10854.387927055359,2,-29,-2
125,10892.643271923065,10,-34,-38
125,10894.223060846329,14,-29,-36
126,10910.384620904922,2,-29,-37
126,10922.351421833038,10,-30,-36
126,10976.286453008652,14,-30,-2
127,10986.305510997772,2,-30,-37
127,10990.453906059265,10,-30,-36
127,11046.50529384613,14,-30,-2
128,11054.330137968063,2,-30,-38
128,11058.254118919373,10,-30,-40
128,11104.15728187561,14,-30,-2
129,11122.659009933472,2,-30,-36
129,11166.675431013107,10,-30,-2
129,11202.265147924423,14,-30,-35
130,11229.729370832443,2,-30,-37
130,11293.885488033295,10,-30,-2
130,11302.30746102333,14,-30,-37
131,11314.328649997711,2,-30,-37
131,11346.282693862915,10,-29,-39
131,11362.7091588974,14,-29,-3
132,11370.409167051315,2,-30,-39
132,11421.3202419281,10,-30,-3
132,11430.321022033691,14,-39,-38
133,11482.48026895523,2,-30,-2
133,11494.269942045212,10,-30,-37
133,11564.505020856857,14,-30,-2
134,11570.331593036652,2,-30,-38
134,11610.578471899033,10,-30,-2
134,11631.27891087532,14,-30,-39
135,11677.23220205307,2,-43,-2
135,11684.28079199791,10,-34,-39
135,11686.38518190384,14,-29,-37
136,11702.806282997131,2,-29,-39
136,11736.337532043457,10,-30,-2
136,11762.307873010635,14,-30,-37
137,11773.258421897888,2,-30,-19
137,11802.492172956467,10,-30,-2
137,11819.620861053467,14,-29,-36
138,11828.020798921585,2,-30,-35
138,11862.807605981827,10,-29,-2
138,11871.441879034042,14,-29,-37
139,11873.345425844193,2,-32,-39
139,11876.953606843948,10,-30,-35
139,11886.31892991066,14,-29,-35
140,11926.116863012314,2,-30,-2
140,11995.731685876846,10,-44,-2
140,11999.574103832245,14,-30,-38
141,12052.31179189682,2,-30,-2
141,12062.412051916122,10,-29,-37
141,12115.317592859268,14,-29,-2
142,12131.769968032837,2,-30,-37
142,12135.83848786354,10,-30,-35
142,12181.343705892563,14,-32,-2
143,12199.314815044403,2,-30,-35
143,12241.556427955627,10,-30,-2
143,12243.398068904877,14,-34,-38
144,12318.273813009262,2,-30,-2
144,12322.247189044952,10,-30,-35
144,12378.450250864029,14,-30,-2
145,12391.696176052094,2,-30,-38
145,12399.287155866623,10,-30,-37
145,12407.773115873337,14,-30,-38
146,12433.035197973251,2,-29,-35
146,12438.991353034973,10,-30,-38
146,12447.5250518322,14,-29,-38
147,12457.688261032104,2,-29,-39
147,12463.3134059906,10,-35,-38
147,12467.669831037521,14,-29,-39
148,12503.338042020798,2,-30,-2
148,12515.608512878418,10,-30,-38
148,12519.56498503685,14,-29,-40
149,12568.272892951965,2,-30,-2
149,12589.599804878235,10,-30,-36
149,12595.636806964874,14,-29,-39
150,12636.257983922958,2,-29,-2
150,12663.849971055984,10,-30,-35
150,12696.113440990448,14,-30,-2
151,12726.658802986145,2,-29,-38
151,12739.814661026001,10,-30,-38
151,12758.305348873138,14,-29,-2
152,12772.71810388565,2,-30,-36
152,12775.298388004303,10,17,-37
152,12786.33664894104,14,-33,-37
153,12815.312149047852,2,-30,-38
153,12830.477759838104,10,-1,-37
153,12875.932808876038,14,-30,-37
154,12908.95323085785,2,-30,-37
154,12920.66341996193,10,-44,-36
154,12931.387001037598,14,-29,-36
155,12935.703644990921,2,-30,-37
155,12939.74047088623,10,-29,-40
155,13003.500478982925,14,-29,-39
156,13022.472362041473,2,-35,-39
156,13071.711783885956,10,-30,-35
156,13076.32691192627,14,-30,-35
157,13096.811267852783,2,-30,-39
157,13105.649422883987,10,-33,-35
157,13138.39619898796,14,-29,-2
158,13149.436024904251,2,-33,-50
158,13151.453402996063,10,17,-54
158,13159.55335688591,14,-29,-38
159,13163.428320884705,2,-29,-35
159,13172.074096918106,10,-29,-35
159,13179.446467876434,14,-29,-35
160,13200.535469055176,2,-29,-2
160,13226.445987939835,10,-34,-37
160,13240.931124925613,14,-29,-36
161,13282.67837691307,2,-34,-36
161,13333.720636844635,10,-30,-2
161,13345.124335050583,14,-30,-45
162,13366.886004924774,2,-31,-44
162,13371.457773923874,10,-30,-39
162,13392.89652299881,14,-30,-2
163,13428.383066892624,2,-30,-24
163,13435.735138893127,10,-30,-36
163,13443.534673929214,14,-30,-39
164,13518.039021968842,2,-30,-34
164,13521.335860013962,10,-30,-38
164,13534.408665895462,14,-29,-36
165,13554.613605976105,2,-30,-37
165,13586.698652982712,10,-29,-2
165,13595.688451051712,14,-32,-36
166,13629.692682027817,2,-30,-36
166,13635.748221874237,10,-29,-38
166,13675.734602928162,14,-30,-43
167,13695.946444034576,2,-30,-39
167,13699.751891851425,10,-29,-38
167,13703.4850628376,14,-30,-39
168,13720.784950971603,2,-29,-17
168,13724.72427392006,10,-30,-43
168,13728.996890068054,14,-34,-38
169,13732.848466873169,2,-33,-37
169,13738.339760065079,10,17,-41
169,13768.220659017563,14,-30,-34
170,13791.535099029541,2,-30,-36
170,13816.236284971237,10,-30,-40
170,13832.331321954727,14,-29,-12
171,13859.474828004837,2,-34,-39
171,13873.004837036133,10,-30,-37
171,13876.60265493393,14,-30,-43
172,13902.341475963593,2,-1,-38
172,13939.493018865585,10,-30,-40
172,13946.736824989319,14,-43,-37
173,13978.593505859375,2,-1,-56
173,13985.454433918,10,-30,-34
173,14032.129082918167,14,-29,-2
174,14038.664469957352,2,-1,-13
174,14115.488285064697,10,-30,-39
174,14121.419456005096,14,-32,-38
175,14160.547538995743,2,-30,-37
175,14187.751546859741,10,-30,-39
175,14263.114451885223,14,-30,-39
176,14267.768175840378,2,-30,-35
176,14270.598587989807,10,-38,-37
176,14277.496475934982,14,-34,-36
177,14309.801502943039,2,-34,-37
177,14332.834568977356,10,-29,-12
177,14343.329484939575,14,-30,-36
178,14389.717885017395,2,-30,-32
178,14399.863415956497,10,-30,-34
178,14407.97247505188,14,-30,-35
179,14413.307301044464,2,-30,-35
179,14423.330733060837,10,-1,-41
179,14452.591376066208,14,-35,-38
180,14468.045712947845,2,-43,-36
180,14479.301357984543,10,-30,-36
180,14495.276241064072,14,-30,-41
181,14506.360575914383,2,-30,-35
181,14557.72725391388,10,-30,-6
181,14583.597257852554,14,-30,-37
182,14629.670587062836,2,-30,-38
182,14633.53586602211,10,-1,-32
182,14642.488714933395,14,-30,-41
183,14657.065469026566,2,-30,-38
183,14680.95276093483,10,-44,-37
183,14694.040935993195,14,-33,-37
184,14713.015418052673,2,-30,-37
184,14727.112144947052,10,-30,-39
184,14899.415904045105,14,-33,-37
185,14917.902403831482,2,-30,-34
185,15020.173300981522,10,-30,-44
185,15083.92095899582,14,-30,-39
186,15103.471755027771,2,-30,-37
186,15112.449763059616,10,-35,-37
186,15200.91266298294,14,-30,-68
187,15240.942615032196,2,-30,-39
187,15558.780149936676,10,-30,-37
187,15590.639477968216,14,-1,-40
188,15603.697025060654,2,-30,-35
188,15615.37102484703,10,-30,-36
188,15682.45796084404,14,-30,-41
189,15696.94464302063,2,-29,-38
189,15755.70504784584,10,-30,-37
189,15974.12640094757,14,-30,-38
190,16052.657980918884,2,-39,-44
190,16058.824943065643,10,-30,-26
190,16104.930239915848,14,-30,-36
191,16322.974977970123,2,-30,-33
191,16334.125741004944,10,-30,-30
191,16419.12535405159,14,-1,-43
