Set,Time,antennaSTR,clientRSSI,bssidRSSI,bssidArray,clientArray
3,208.53087210655212,23,-38,-1,[-1],[-38]
3,209.55844116210938,24,-38,-1,[-1],[-38]
3,211.59315514564514,25,-38,-1,[-1],[-38]
3,212.62390613555908,26,-40,-1,[-1],[-40]
3,214.65597701072693,27,-40,-1,[-1],[-40]
3,215.43421602249146,28,-40,-1,[-1],[-40]
3,217.46548199653625,29,-40,-1,[-1],[-40]
3,219.49741411209106,30,-40,-1,[-1],[-40]
4,221.53202509880066,0,-40,-1,[-1],[-40]
4,222.56291007995605,1,-40,-1,[-1],[-40]
4,224.59919214248657,2,-40,-1,[-1],[-40]
4,225.3745470046997,3,-40,-1,[-1],[-40]
4,228.40363001823425,4,-40,-1,[-1],[-40]
4,230.42937707901,5,-40,-1,[-1],[-40]
4,231.4604229927063,6,-40,-1,[-1],[-40]
4,232.49180006980896,7,-40,-1,[-1],[-40]
4,234.5281720161438,8,-40,-1,[-1],[-40]
4,235.55875706672668,9,-40,-1,[-1],[-40]
4,237.58957815170288,10,-40,-1,[-1],[-40]
4,240.6240861415863,11,-40,-1,[-1],[-40]
4,241.40743112564087,12,-40,-1,[-1],[-40]
4,244.69094705581665,13,-40,-1,[-1],[-40]
4,246.47260999679565,14,-40,-1,[-1],[-40]
4,253.51775407791138,15,-38,-45,[-45],[-38]
4,254.54817008972168,16,-38,-1,[-1],[-38]
4,256.58158111572266,17,-38,-1,[-1],[-38]
4,257.6107921600342,18,-38,-1,[-1],[-38]
4,259.642028093338,19,-38,-1,[-1],[-38]
4,262.4262161254883,20,-38,-1,[-1],[-38]
4,263.45377802848816,21,-38,-1,[-1],[-38]
4,264.47748708724976,22,-38,-1,[-1],[-38]
4,266.5083661079407,23,-39,-1,[-1],[-39]
4,267.5381121635437,24,-38,-1,[-1],[-38]
4,269.56994009017944,25,-38,-1,[-1],[-38]
4,270.5993390083313,26,-38,-1,[-1],[-38]
4,273.6325840950012,27,-38,-1,[-1],[-38]
4,275.6678252220154,28,-38,-1,[-1],[-38]
4,276.44808316230774,29,-39,-1,[-1],[-39]
4,277.4798722267151,30,-38,-1,[-1],[-38]
5,279.5183811187744,0,-38,-1,[-1],[-38]
5,282.5522060394287,1,-38,-1,[-1],[-38]
5,283.5821120738983,2,-38,-1,[-1],[-38]
5,285.61790108680725,3,-38,-1,[-1],[-38]
5,286.6478180885315,4,-39,-1,[-1],[-39]
5,288.68405508995056,5,-39,-1,[-1],[-39]
5,289.46458101272583,6,-38,-1,[-1],[-38]
5,291.4976601600647,7,-38,-1,[-1],[-38]
5,295.53550601005554,8,-38,-1,[-1],[-38]
5,296.56819319725037,9,-38,-1,[-1],[-38]
5,298.59750509262085,10,-38,-1,[-1],[-38]
5,299.6274240016937,11,-38,-1,[-1],[-38]
5,301.66095304489136,12,-38,-1,[-1],[-38]
5,302.4408931732178,13,-38,-1,[-1],[-38]
5,304.4752721786499,14,-38,-1,[-1],[-38]
5,306.51196217536926,15,-38,-1,[-1],[-38]
5,308.5466411113739,16,-38,-1,[-1],[-38]
5,311.5799980163574,17,-38,-37,[-37],[-38]
5,317.62370920181274,18,-38,-45,[-45],[-38]
5,320.41054821014404,19,-38,-1,[-1],[-38]
5,321.4409370422363,20,-38,-1,[-1],[-38]
5,322.4716122150421,21,-38,-1,[-1],[-38]
5,324.50669503211975,22,-38,-1,[-1],[-38]
5,325.53502011299133,23,-38,-1,[-1],[-38]
5,327.56803607940674,24,-38,-1,[-1],[-38]
5,328.5996980667114,25,-38,-1,[-1],[-38]
5,331.63631319999695,26,-38,-1,[-1],[-38]
5,333.66974210739136,27,-38,-1,[-1],[-38]
5,334.4501280784607,28,-38,-1,[-1],[-38]
5,336.48124408721924,29,-39,-1,[-1],[-39]
5,337.5114371776581,30,-38,-1,[-1],[-38]
6,338.5456311702728,0,-38,-1,[-1],[-38]
6,340.58586621284485,1,-38,-1,[-1],[-38]
6,341.61935806274414,2,-38,-1,[-1],[-38]
6,343.40290808677673,3,-38,-1,[-1],[-38]
6,346.6869812011719,4,-38,-1,[-1],[-38]
6,347.46618819236755,5,-38,-1,[-1],[-38]
6,349.4979660511017,6,-38,-1,[-1],[-38]
6,350.5298750400543,7,-38,-1,[-1],[-38]
6,352.5641450881958,8,-40,-1,[-1],[-40]
6,353.5947391986847,9,-40,-1,[-1],[-40]
6,354.37281107902527,10,-40,-1,[-1],[-40]
6,359.6571021080017,11,-40,-1,[-1],[-40]
6,360.4345819950104,12,-40,-1,[-1],[-40]
6,362.46937108039856,13,-40,-1,[-1],[-40]
6,363.50227308273315,14,-40,-1,[-1],[-40]
6,365.53277802467346,15,-40,-1,[-1],[-40]
6,366.5633661746979,16,-40,-1,[-1],[-40]
6,369.59642219543457,17,-40,-1,[-1],[-40]
6,370.37704610824585,18,-40,-1,[-1],[-40]
6,372.4059491157532,19,-40,-1,[-1],[-40]
6,373.68535017967224,20,-40,-1,[-1],[-40]
6,374.46264600753784,21,-1,-30,[-30],[-1]
6,379.5038330554962,22,-40,-37,[-37],[-40]
6,381.53755402565,23,-40,-1,[-1],[-40]
6,383.57001304626465,24,-40,-1,[-1],[-40]
6,385.5996530056,25,-40,-1,[-1],[-40]
6,388.63285207748413,26,-40,-1,[-1],[-40]
6,389.412810087204,27,-40,-1,[-1],[-40]
6,391.444274187088,28,-40,-1,[-1],[-40]
6,394.47911310195923,29,-40,-1,[-1],[-40]
6,396.5132222175598,30,-40,-1,[-1],[-40]
7,399.5507731437683,0,-40,-1,[-1],[-40]
7,401.58229899406433,1,-40,-1,[-1],[-40]
7,402.61154317855835,2,-40,-1,[-1],[-40]
7,405.6480460166931,3,-40,-1,[-1],[-40]
7,407.68181800842285,4,-40,-1,[-1],[-40]
7,408.46277713775635,5,-40,-1,[-1],[-40]
7,410.50053811073303,6,-40,-1,[-1],[-40]
7,411.53158020973206,7,-40,-1,[-1],[-40]
7,412.5586111545563,8,-40,-1,[-1],[-40]
7,414.5919589996338,9,-40,-1,[-1],[-40]
7,417.37645721435547,10,-40,-1,[-1],[-40]
7,418.65321922302246,11,-40,-1,[-1],[-40]
7,420.43462014198303,12,-40,-1,[-1],[-40]
7,421.4628231525421,13,-40,-1,[-1],[-40]
7,423.4930272102356,14,-40,-1,[-1],[-40]
7,424.52243399620056,15,-40,-1,[-1],[-40]
7,426.5572190284729,16,-40,-1,[-1],[-40]
7,427.58579421043396,17,-40,-1,[-1],[-40]
7,428.61594319343567,18,-40,-1,[-1],[-40]
7,430.6519560813904,19,-40,-1,[-1],[-40]
7,433.69315814971924,20,-40,-1,[-1],[-40]
7,434.47371912002563,21,-40,-1,[-1],[-40]
7,436.5091121196747,22,-40,-1,[-1],[-40]
7,437.539587020874,23,-40,-37,[-37],[-40]
7,441.5792100429535,24,-40,-1,[-1],[-40]
7,443.6097390651703,25,-40,-1,[-1],[-40]
7,444.3856852054596,26,-40,-1,[-1],[-40]
7,446.41609716415405,27,-40,-1,[-1],[-40]
7,447.6988160610199,28,-40,-1,[-1],[-40]
7,449.48154616355896,29,-40,-1,[-1],[-40]
7,450.5109341144562,30,-40,-1,[-1],[-40]
8,452.5459680557251,0,-40,-1,[-1],[-40]
8,455.58523416519165,1,-38,-1,[-1],[-38]
8,456.61687207221985,2,-38,-1,[-1],[-38]
8,457.6421220302582,3,-38,-1,[-1],[-38]
8,459.4236710071564,4,-38,-1,[-1],[-38]
8,460.4556231498718,5,-38,-1,[-1],[-38]
8,462.49303817749023,6,-39,-1,[-1],[-39]
8,463.523894071579,7,-38,-1,[-1],[-38]
8,465.55532717704773,8,-38,-1,[-1],[-38]
8,466.5877540111542,9,-38,-1,[-1],[-38]
8,468.62484312057495,10,-38,-1,[-1],[-38]
8,469.6549530029297,11,-38,-1,[-1],[-38]
8,471.434602022171,12,-38,-1,[-1],[-38]
8,472.46423506736755,13,-38,-1,[-1],[-38]
8,475.500155210495,14,-38,-1,[-1],[-38]
8,476.53171706199646,15,-38,-1,[-1],[-38]
8,478.56419110298157,16,-38,-1,[-1],[-38]
8,479.5946350097656,17,-38,-1,[-1],[-38]
8,481.3809711933136,18,-38,-1,[-1],[-38]
8,482.66068720817566,19,-38,-1,[-1],[-38]
8,484.4456830024719,20,-38,-1,[-1],[-38]
8,485.4820280075073,21,-38,-1,[-1],[-38]
8,486.5108480453491,22,-38,-1,[-1],[-38]
8,488.5442771911621,23,-38,-1,[-1],[-38]
8,491.5788161754608,24,-38,-1,[-1],[-38]
8,492.60767006874084,25,-38,-1,[-1],[-38]
8,494.3877041339874,26,-38,-1,[-1],[-38]
8,497.416894197464,27,-38,-1,[-1],[-38]
8,498.4476511478424,28,-38,-1,[-1],[-38]
8,500.4824240207672,29,-38,-37,[-37],[-38]
8,505.52464509010315,30,-39,-37,[-37],[-39]
9,508.5609951019287,0,-38,-1,[-1],[-38]
9,510.5939600467682,1,-38,-1,[-1],[-38]
9,511.62471103668213,2,-38,-1,[-1],[-38]
9,513.4036650657654,3,-38,-1,[-1],[-38]
9,514.4325501918793,4,-38,-1,[-1],[-38]
9,517.464672088623,5,-38,-1,[-1],[-38]
9,520.5012061595917,6,-38,-1,[-1],[-38]
9,521.5359961986542,7,-38,-1,[-1],[-38]
9,523.5658330917358,8,-38,-1,[-1],[-38]
9,524.5969002246857,9,-38,-1,[-1],[-38]
9,526.6317451000214,10,-39,-1,[-1],[-39]
9,527.4071221351624,11,-38,-1,[-1],[-38]
9,530.437390089035,12,-38,-1,[-1],[-38]
9,531.4676511287689,13,-38,-1,[-1],[-38]
9,533.4997560977936,14,-38,-1,[-1],[-38]
9,534.5293622016907,15,-38,-1,[-1],[-38]
9,536.5621540546417,16,-38,-1,[-1],[-38]
9,537.5937430858612,17,-38,-1,[-1],[-38]
9,539.6274251937866,18,-38,-1,[-1],[-38]
9,542.4107511043549,19,-38,-1,[-1],[-38]
9,543.4380660057068,20,-38,-1,[-1],[-38]
9,545.4687080383301,21,-38,-1,[-1],[-38]
9,546.500077009201,22,-38,-1,[-1],[-38]
9,547.5273170471191,23,-38,-1,[-1],[-38]
9,549.5602810382843,24,-38,-1,[-1],[-38]
9,550.5884130001068,25,-38,-1,[-1],[-38]
9,552.3700001239777,26,-40,-1,[-1],[-40]
9,553.3961651325226,27,-40,-1,[-1],[-40]
9,555.6831002235413,28,-40,-1,[-1],[-40]
9,558.469957113266,29,-40,-1,[-1],[-40]
9,559.4994180202484,30,-40,-1,[-1],[-40]
0,1.764219045639038,0,-38,-31,[-31],[-38]
0,2.794590950012207,1,-37,-35,[-35],[-37]
0,4.829101085662842,2,-37,-35,[-35],[-37]
0,5.85924506187439,3,-38,-38,[-38],[-38]
0,7.893148899078369,4,-38,-47,[-47],[-38]
0,8.670917987823486,5,-39,-38,[-38],[-39]
0,9.701252937316895,6,-39,-40,[-40],[-39]
0,11.73702096939087,7,-39,-42,[-42],[-39]
0,14.770148992538452,8,-39,-27,[-27],[-39]
0,15.798532962799072,9,-40,-29,[-29],[-40]
0,17.83194589614868,10,-38,-39,[-39],[-38]
0,18.862863063812256,11,-38,-35,[-35],[-38]
0,20.898102045059204,12,-39,-25,[-25],[-39]
0,21.676405906677246,13,-40,-37,[-37],[-40]
0,22.706547021865845,14,-38,-33,[-33],[-38]
0,23.738451957702637,15,-44,-35,[-35],[-44]
0,28.782166957855225,16,-38,-39,[-39],[-38]
0,30.81752896308899,17,-40,-1,[-1],[-40]
0,31.84674310684204,18,-38,-1,[-1],[-38]
0,33.88267397880554,19,-38,-1,[-1],[-38]
0,34.91465497016907,20,-38,-1,[-1],[-38]
0,36.6982159614563,21,-39,-1,[-1],[-39]
0,37.72985100746155,22,-37,-1,[-1],[-37]
0,38.75867795944214,23,-53,-33,[-33],[-53]
0,39.79203796386719,24,-55,-39,[-39],[-55]
0,40.82274603843689,25,-93,-42,[-42],"[-38, -55]"
0,41.8544499874115,26,-39,-1,[-1],[-39]
0,43.88862109184265,27,-39,-1,[-1],[-39]
0,44.67148399353027,28,-37,-1,[-1],[-37]
0,46.70680499076843,29,-38,-1,[-1],[-38]
0,47.738800048828125,30,-39,-1,[-1],[-39]
1,49.776134967803955,0,-38,-1,[-1],[-38]
1,52.81154704093933,1,-39,-1,[-1],[-39]
1,53.844707012176514,2,-39,-1,[-1],[-39]
1,55.87734007835388,3,-40,-1,[-1],[-40]
1,56.90648102760315,4,-38,-1,[-1],[-38]
1,57.68808197975159,5,-40,-1,[-1],[-40]
1,59.72087907791138,6,-39,-1,[-1],[-39]
1,60.750118017196655,7,-40,-1,[-1],[-40]
1,62.7848219871521,8,-39,-1,[-1],[-39]
1,63.81469988822937,9,-39,-1,[-1],[-39]
1,65.84893608093262,10,-40,-1,[-1],[-40]
1,70.6369400024414,11,-42,-39,[-39],[-42]
1,72.66884589195251,12,-42,-1,[-1],[-42]
1,75.70354390144348,13,-41,-1,[-1],[-41]
1,78.73934292793274,14,-42,-1,[-1],[-42]
1,79.77030396461487,15,-41,-1,[-1],[-41]
1,82.80624103546143,16,-42,-1,[-1],[-42]
1,84.840567111969,17,-42,-1,[-1],[-42]
1,85.86999011039734,18,-41,-1,[-1],[-41]
1,86.65141105651855,19,-42,-1,[-1],[-42]
1,88.68456506729126,20,-41,-1,[-1],[-41]
1,91.7191469669342,21,-37,-1,[-1],[-37]
1,92.75059008598328,22,-39,-1,[-1],[-39]
1,93.78221487998962,23,-43,-1,[-1],[-43]
1,95.81659889221191,24,-40,-1,[-1],[-40]
1,97.84847497940063,25,-41,-1,[-1],[-41]
1,98.87755799293518,26,-41,-1,[-1],[-41]
1,99.90682888031006,27,-40,-1,[-1],[-40]
1,101.93955588340759,28,-41,-1,[-1],[-41]
1,102.7186770439148,29,-41,-1,[-1],[-41]
1,105.75283598899841,30,-41,-1,[-1],[-41]
2,107.78632998466492,0,-42,-1,[-1],[-42]
2,110.81990504264832,1,-42,-1,[-1],[-42]
2,111.85287189483643,2,-42,-1,[-1],[-42]
2,113.87953305244446,3,-41,-1,[-1],[-41]
2,114.91303396224976,4,-95,-35,[-35],"[-42, -53]"
2,115.69481301307678,5,-42,-1,[-1],[-42]
2,117.73134088516235,6,-41,-1,[-1],[-41]
2,118.7624409198761,7,-41,-1,[-1],[-41]
2,124.80381107330322,8,-41,-45,[-45],[-41]
2,126.84332203865051,9,-41,-1,[-1],[-41]
2,127.87438988685608,10,-41,-1,[-1],[-41]
2,128.90601205825806,11,-41,-1,[-1],[-41]
0,1.010890007019043,0,-39,-1,[-1],[-39]
0,3.0477468967437744,1,-39,-1,[-1],[-39]
0,4.079253911972046,2,-39,-1,[-1],[-39]
0,6.11231803894043,3,-38,-1,[-1],[-38]
0,7.144167900085449,4,-39,-1,[-1],[-39]
0,9.177857875823975,5,-39,-1,[-1],[-39]
0,10.207788944244385,6,-39,-1,[-1],[-39]
0,12.236165046691895,7,-39,-1,[-1],[-39]
0,13.019252061843872,8,-39,-1,[-1],[-39]
0,14.049279928207397,9,-41,-1,[-1],[-41]
0,16.08364486694336,10,-40,-1,[-1],[-40]
0,17.11292004585266,11,-39,-1,[-1],[-39]
0,19.146785974502563,12,-39,-1,[-1],[-39]
0,20.179558038711548,13,-39,-1,[-1],[-39]
0,22.2063410282135,14,-39,-1,[-1],[-39]
0,23.2361478805542,15,-39,-1,[-1],[-39]
0,25.018121004104614,16,-39,-1,[-1],[-39]
0,27.05485486984253,17,-39,-1,[-1],[-39]
0,29.092768907546997,18,-39,-1,[-1],[-39]
0,30.12305498123169,19,-39,-1,[-1],[-39]
0,33.156198024749756,20,-39,-1,[-1],[-39]
0,35.1887469291687,21,-40,-1,[-1],[-40]
0,36.22199892997742,22,-40,-1,[-1],[-40]
0,38.2546169757843,23,-39,-1,[-1],[-39]
0,39.03448796272278,24,-39,-1,[-1],[-39]
0,40.06460690498352,25,-39,-1,[-1],[-39]
0,42.09943199157715,26,-42,-1,[-1],[-42]
